typecode,engine_type,c1,c2,c3
A318,CFM56-5B9/3,0.7769784596099123,1.765377288174942,2.5349134936316693
A319,V2524-A5,0.8694169413032631,1.9542690629047836,2.5028187026860103
A320,CFM56-5B4/P,1.0453208160586924,2.3633720747416573,1.2378127479131922
A321,V2533-A5,1.3979999999999444,2.054028451829268,1.0008941993511127
A332,Trent 772,2.886430057340283,1.0960397632560752,2.3772585567580293
A333,Trent 772,3.1199999999999997,1.0365152289922772,1.950599421257047
B737,CFM56-7B26,1.0237419750954273,1.4670109921175798,3.2566140275646456
B738,CFM56-7B26E,1.075484518912494,1.8777303165419037,1.8895522140156369
B739,CFM56-7B27E,1.3079999999999998,1.5986016771932572,1.2789091908108752
CRJ9,CF34-8C5,0.6437136288905128,1.9690234662778772,1.4375859706162741
E170,CF34-8E5,0.6341784688704629,2.778729428440142,1.0149695061665696
E190,CF34-10E5,0.8339999999998783,2.3343013671118475,0.4847704716061958
E195,CF34-10E5A1,0.911999999999993,1.929664699695295,0.8452746256489131
E75L,CF34-8E5,0.6340709359225759,2.614653287356019,0.8714282723568036
default,default,0.937564901246902,1.9767611682280135,1.3954794843472482
